Employee_ID,Gender,Age,Education_Level,Relationship_Status,Hometown,Unit,Decision_skill_possess,Time_of_service,Time_since_Salary_Increment,Distance_from_Home,Travel_Rate,Workload_Index,Pay_Scale,Compensation_and_Benefits,Post_Level,Growth_Rate,VAR2,VAR3,VAR4,Yearly_Trainings,Weekly_Over_Time,Work_Life_Balance,Attrition_rate,,,,,
EID_16441,M,28,3,Married,Lebanon,Logistics,Conceptual,4,4,42,1,2,8,type1,3,3,-1.8176,-0.4537,2,3,5,3,0.2129,,,,,
EID_17616,F,25,4,Married,Washington,Accounting and Finance,Behavioral,6,2,51,0,1,7,type3,4,4,0.7516,-0.4537,2,2,7,3,0.0625,,,,,
EID_22708,M,32,5,Married,Lebanon,Operarions,Directive,3,2,49,1,3,4,type2,1,4,1.6081,0.7075,,3,5,3,0.0366,,,,,
EID_23891,F,25,4,Married,Lebanon,Security,Directive,6,3,52,1,3,6,type2,2,2,-1.8176,-1.615,3,3,8,5,0.1175,,,,,
EID_4999,F,47,5,Married,Franklin,R&D,Behavioral,14,2,60,1,3,5,type3,1,3,0.7516,0.7075,2,2,7,3,0.7634,,,,,
EID_3360,M,60,3,Married,Franklin,Logistics,Directive,30,4,61,1,2,4,type2,3,3,-1.8176,-1.615,2,3,5,4,0.288,,,,,
EID_9592,F,65,5,Married,Springfield,R&D,Behavioral,36,3,28,0,3,3,type3,4,1,-0.9612,-0.4537,2,1,7,4,0.1484,,,,,
EID_20941,F,27,2,Married,Springfield,IT,Behavioral,5,2,26,0,1,5,type2,4,3,0.7516,-0.4537,1,3,8,3,0.0529,,,,,
EID_7467,M,42,3,Single,Springfield,R&D,Behavioral,14,2,56,2,5,8,type2,5,3,0.7516,-1.615,2,3,5,3,0.0058,,,,,
EID_8052,F,39,5,Single,Springfield,IT,Conceptual,17,1,53,0,3,8,type2,1,4,0.7516,0.7075,1,2,6,5,0.1714,,,,,
EID_10631,F,44,4,Married,Lebanon,Operarions,Behavioral,16,2,65,0,3,5,type3,1,3,0.7516,1.8688,2,2,8,5,0.1563,,,,,
EID_5316,M,55,4,Married,Washington,Purchasing,Behavioral,24,3,73,2,5,1,type2,1,5,-0.1048,0.7075,1,3,6,5,0.0215,,,,,
EID_4267,F,58,3,Single,Lebanon,Sales,Conceptual,33,3,25,1,3,5,type2,1,5,1.6081,-2.7762,2,2,8,2,0.1593,,,,,
EID_17826,F,25,1,Single,Lebanon,Accounting and Finance,Analytical,6,2,41,0,1,8,type2,2,5,,1.8688,2,4,7,3,0.1062,,,,,
EID_11566,M,36,3,Single,Springfield,IT,Behavioral,9,3,47,1,2,5,type2,2,3,0.7516,0.7075,2,3,8,3,0.0997,,,,,
EID_11061,F,43,3,Married,Springfield,Sales,Directive,14,2,25,1,3,10,type2,3,3,-0.1048,-2.7762,2,3,5,4,0.2101,,,,,
EID_21387,F,47,5,Single,Springfield,Operarions,Directive,11,3,38,1,3,8,type3,2,2,-0.1048,1.8688,,2,5,3,0.0983,,,,,
EID_13641,F,36,4,Married,Springfield,IT,Directive,12,4,20,1,2,8,type2,1,2,0.7516,-0.4537,1,4,7,5,0.183,,,,,
EID_20934,F,28,3,Married,Springfield,IT,Directive,5,1,38,0,1,8,type2,1,4,-0.1048,-0.4537,2,3,8,3,0.5212,,,,,
EID_13967,F,35,4,Single,Springfield,R&D,Directive,11,4,61,0,1,3,type2,4,1,-0.1048,1.8688,2,4,9,3,0.1461,,,,,
EID_22711,F,25,3,Married,Springfield,Accounting and Finance,Behavioral,6,3,62,0,3,9,type3,1,3,0.7516,0.7075,2,5,9,4,0.1351,,,,,
EID_24554,F,27,3,Married,Lebanon,Operarions,Directive,3,3,67,0,2,3,type2,4,3,1.6081,-1.615,2,2,8,2,0.1489,,,,,
EID_5735,M,65,3,Single,Franklin,IT,Directive,36,4,55,0,3,5,type2,1,3,-1.8176,-0.4537,1,3,5,3,0.5725,,,,,
EID_8287,F,39,3,Married,Franklin,Sales,Analytical,16,3,46,1,2,7,type3,2,1,,1.8688,2,3,8,2,0.0002,,,,,
EID_20989,F,60,3,Single,Springfield,Operarions,Directive,38,2,37,0,3,5,type3,4,3,-0.1048,0.7075,2,4,7,4,0.2495,,,,,
EID_4655,F,57,3,Married,Lebanon,Accounting and Finance,Conceptual,19,1,73,0,1,6,type0,3,3,-0.9612,-0.4537,2,5,9,3,0.4184,,,,,
EID_7898,F,62,3,Married,Springfield,Marketing,Behavioral,29,1,30,0,3,8,type0,4,3,1.6081,1.8688,1,3,6,3,0.3186,,,,,
EID_12065,F,35,3,Married,Springfield,Logistics,Conceptual,12,1,38,1,4,7,type2,1,3,0.7516,-0.4537,2,4,8,4,0.5975,,,,,
EID_11587,F,36,3,Single,Lebanon,IT,Analytical,10,1,64,1,2,5,type2,2,2,-0.1048,-1.615,2,2,7,3,0.0617,,,,,
EID_9247,F,59,3,Single,Franklin,Marketing,Conceptual,34,2,50,1,4,7,type4,3,3,,-0.4537,2,1,5,3,0.2208,,,,,
EID_3718,F,64,4,Married,Franklin,IT,Conceptual,36,1,44,0,3,4,type2,1,3,-0.1048,-0.4537,2,2,8,3,0.0505,,,,,
EID_16708,F,27,3,Married,Lebanon,Operarions,Behavioral,4,1,37,1,3,8,type4,1,4,0.7516,-0.4537,2,2,6,3,0.0896,,,,,
EID_16892,F,23,3,Single,Franklin,Accounting and Finance,Behavioral,4,4,69,0,3,5,type2,4,3,-0.1048,-0.4537,2,3,8,3,0.1015,,,,,
EID_8142,F,40,3,Single,Springfield,Operarions,Conceptual,13,4,53,2,3,7,type3,4,3,-0.1048,0.7075,3,4,7,2,0.0122,,,,,
EID_17508,M,25,4,Single,Lebanon,IT,Analytical,6,1,41,0,4,7,type2,3,3,-0.1048,-0.4537,1,3,8,3,0.0541,,,,,
EID_19777,M,54,3,Married,Lebanon,Operarions,Behavioral,28,1,49,1,3,5,type3,1,1,-0.9612,-0.4537,1,4,8,3,0.2679,,,,,
EID_7314,F,51,3,Married,Lebanon,IT,Conceptual,27,3,28,1,2,6,type2,3,3,-0.1048,-0.4537,2,5,6,3,0.2645,,,,,
EID_24424,M,32,3,Married,Washington,IT,Analytical,7,4,72,0,2,8,type0,4,3,-0.9612,-0.4537,2,3,8,3,0.0849,,,,,
EID_1179,M,65,4,Married,Springfield,R&D,Conceptual,30,3,23,0,2,7,type3,3,4,0.7516,-1.615,2,2,7,3,0.0125,,,,,
EID_10337,F,36,3,Married,Lebanon,Security,Behavioral,14,1,40,0,3,5,type2,4,3,-0.9612,0.7075,2,3,8,3,0.1311,,,,,
EID_25998,F,25,5,Single,Springfield,Accounting and Finance,Behavioral,6,2,72,0,3,3,type2,2,5,-0.9612,-0.4537,2,3,9,3,0.0008,,,,,
EID_2665,F,62,5,Married,Lebanon,IT,Behavioral,39,1,37,2,4,4,type3,3,4,-0.1048,-0.4537,2,4,8,3,0.0031,,,,,
EID_9025,F,42,3,Single,Franklin,Logistics,Analytical,14,3,71,1,3,6,type3,1,3,0.7516,-0.4537,2,3,5,3,0.0507,,,,,
EID_10673,M,44,5,Single,Lebanon,Sales,Directive,16,3,41,0,4,5,type3,4,5,-0.1048,0.7075,,2,6,3,0.0271,,,,,
EID_15694,F,36,3,Married,Lebanon,Human Resource Management,Conceptual,4,1,70,2,1,5,type2,2,3,0.7516,0.7075,3,2,8,3,0.1522,,,,,
EID_20745,M,31,3,Single,Lebanon,R&D,Directive,2,2,32,1,2,5,type2,2,3,-0.1048,-0.4537,2,4,8,3,0.2721,,,,,
EID_17608,F,23,5,Married,Franklin,IT,Behavioral,4,2,54,1,1,5,type2,1,3,0.7516,-0.4537,3,1,8,3,0.0978,,,,,
EID_21122,F,31,3,Single,Springfield,Sales,Analytical,7,4,49,2,2,5,type0,3,5,0.7516,-0.4537,2,3,6,3,0.0193,,,,,
EID_5802,F,45,2,Married,Franklin,Production,Directive,21,1,64,0,4,3,type2,4,3,-0.1048,0.7075,2,2,5,3,0.2638,,,,,
EID_20530,M,26,3,Married,Franklin,Logistics,Directive,4,2,29,1,3,9,type2,2,5,,-2.7762,2,3,6,3,0.3566,,,,,
EID_13797,M,35,4,Married,Franklin,IT,Analytical,7,1,32,0,1,2,type4,2,3,-1.8176,-0.4537,,1,8,3,0.1371,,,,,
EID_22572,F,60,2,Married,Washington,Operarions,Conceptual,38,1,58,2,3,10,type2,1,3,-0.9612,-0.4537,2,3,6,5,0.1994,,,,,
EID_8899,M,43,1,Single,Clinton,R&D,Conceptual,12,1,28,2,3,6,type3,2,3,-0.1048,1.8688,2,1,8,4,0.2834,,,,,
EID_17645,F,21,4,Married,Franklin,IT,Conceptual,2,1,48,0,5,6,type2,1,3,,-0.4537,3,3,7,3,0.0444,,,,,
EID_8363,M,62,5,Married,Springfield,Security,Analytical,25,2,73,1,3,5,type2,2,3,1.6081,0.7075,2,2,8,3,0.1761,,,,,
EID_25077,F,27,5,Single,Lebanon,Logistics,Analytical,4,2,26,1,3,6,type2,2,3,-0.9612,1.8688,2,2,5,2,0.0544,,,,,
EID_2161,F,54,4,Single,Washington,Security,Analytical,31,3,72,1,2,6,type3,3,3,-0.9612,-2.7762,2,3,8,2,0.0377,,,,,
EID_18073,F,22,3,Single,Springfield,Logistics,Conceptual,3,1,60,0,3,5,type0,1,3,,-0.4537,3,2,6,5,0.0496,,,,,
EID_18313,M,21,2,Married,Lebanon,Operarions,Directive,2,2,28,0,4,5,type2,3,3,0.7516,0.7075,3,1,7,3,0.5557,,,,,
EID_17326,F,22,4,Married,Washington,IT,Analytical,3,3,47,0,3,8,type2,1,2,0.7516,-0.4537,2,3,6,5,0.7045,,,,,
EID_19631,F,22,3,Single,Franklin,Logistics,Directive,3,3,51,1,2,10,type2,4,4,0.7516,-0.4537,2,2,9,3,0.1134,,,,,
EID_2275,M,54,3,Married,Springfield,Sales,Behavioral,21,3,64,1,3,6,type2,1,3,-0.1048,0.7075,1,2,8,4,0.2901,,,,,
EID_10353,M,36,2,Married,Lebanon,Production,Analytical,10,3,52,1,3,6,type2,1,3,1.6081,-0.4537,1,3,7,3,0.125,,,,,
EID_15205,F,24,5,Single,Clinton,Accounting and Finance,Analytical,5,4,64,1,3,8,type3,3,1,0.7516,0.7075,2,5,8,5,0.06,,,,,
EID_21068,F,27,4,Married,Washington,Operarions,Directive,5,1,43,2,4,4,type2,4,2,,1.8688,2,2,8,5,0.2862,,,,,
EID_23434,F,32,3,Married,Franklin,Operarions,Analytical,7,1,74,0,3,6,type3,1,3,-1.8176,-2.7762,2,4,8,5,0.2962,,,,,
EID_14621,F,29,2,Single,Lebanon,Accounting and Finance,Analytical,5,1,45,2,5,5,type2,3,4,-0.1048,0.7075,2,3,7,3,0.2806,,,,,
EID_21952,F,22,4,Married,Springfield,Security,Directive,3,3,59,1,2,10,type4,1,3,-0.9612,-0.4537,2,2,7,5,0.2546,,,,,
EID_4598,M,57,3,Married,Springfield,Sales,Behavioral,22,2,41,1,3,8,type0,4,5,0.7516,-0.4537,2,3,6,5,0.6576,,,,,
EID_25628,F,31,4,Single,Franklin,Accounting and Finance,Conceptual,7,4,25,0,1,8,type0,2,4,-0.9612,-0.4537,2,2,8,3,0.0127,,,,,
EID_1237,F,58,3,Married,Clinton,Logistics,Conceptual,,1,58,1,2,3,type2,4,3,-0.9612,0.7075,2,4,8,3,0.0518,,,,,
EID_1489,F,60,2,Married,Clinton,R&D,Directive,31,2,45,0,3,8,type3,1,3,-1.8176,0.7075,2,2,7,3,0.1588,,,,,
EID_18504,F,21,3,Married,Springfield,R&D,Analytical,2,1,43,1,3,6,type2,5,5,-0.9612,-0.4537,1,2,8,3,0.1257,,,,,
EID_6601,M,44,3,Married,Franklin,Logistics,Behavioral,16,3,71,1,2,6,type3,1,3,0.7516,-1.615,,3,6,5,0.0989,,,,,
EID_14947,M,24,3,Married,Springfield,IT,Directive,5,4,32,0,2,7,type3,4,5,-0.1048,-0.4537,1,4,8,5,0.2867,,,,,
EID_15049,F,33,2,Married,Springfield,R&D,Conceptual,5,1,55,0,3,5,type2,3,4,1.6081,0.7075,2,3,8,4,0.4139,,,,,
EID_19247,F,21,5,Married,Springfield,Operarions,Behavioral,2,1,33,1,3,10,type3,4,2,-0.9612,-0.4537,2,3,8,3,0.1492,,,,,
EID_8821,M,59,5,Married,Franklin,Operarions,Analytical,27,2,29,1,3,3,type2,1,3,-0.1048,0.7075,1,3,6,5,0.4365,,,,,
EID_11951,M,31,4,Single,Clinton,Accounting and Finance,Directive,6,3,43,0,2,5,type2,4,3,-1.8176,-1.615,1,3,9,3,0.1097,,,,,
EID_18234,F,24,4,Single,Washington,Logistics,Directive,5,2,71,2,4,8,type3,1,4,0.7516,-0.4537,2,1,6,3,0.1375,,,,,
EID_8950,F,59,3,Married,Franklin,Operarions,Analytical,30,3,68,0,3,5,type2,3,3,-0.9612,0.7075,2,3,9,3,0.7049,,,,,
EID_21773,F,27,3,Married,Lebanon,Logistics,Conceptual,4,1,67,0,1,4,type2,3,3,,0.7075,2,2,6,3,0.1544,,,,,
EID_14534,M,25,1,Married,Springfield,IT,Directive,6,1,24,1,3,7,type2,3,3,-0.1048,-0.4537,2,3,6,1,0.1414,,,,,
EID_4519,F,48,3,Married,Lebanon,Security,Directive,23,2,41,1,3,5,type2,1,4,-0.9612,1.8688,2,1,7,2,0.1021,,,,,
EID_21472,F,52,4,Married,Washington,Sales,Directive,22,4,63,1,2,10,type2,1,3,0.7516,-0.4537,1,2,5,5,0.0471,,,,,
EID_1817,M,59,3,Married,Lebanon,Operarions,Analytical,22,3,30,0,2,8,type3,1,1,-0.9612,0.7075,3,4,6,4,0.5802,,,,,
EID_8361,M,59,4,Married,Lebanon,IT,Conceptual,36,3,20,1,2,7,type2,2,3,-0.1048,0.7075,2,2,7,3,0.2641,,,,,
EID_15220,M,24,3,Single,Lebanon,R&D,Behavioral,5,3,51,0,5,5,type4,1,1,-0.1048,-0.4537,2,3,7,4,0.163,,,,,
EID_8723,F,43,3,Married,Washington,R&D,Directive,21,2,43,1,4,3,type3,3,1,0.7516,-0.4537,,2,8,4,0.5918,,,,,
EID_4899,M,51,4,Single,Clinton,Operarions,Directive,18,4,50,0,3,4,type3,4,4,-0.1048,0.7075,1,4,5,4,0.2686,,,,,
EID_11191,F,37,3,Married,Lebanon,Marketing,Analytical,11,3,55,1,2,4,type3,4,2,-0.1048,-0.4537,1,3,8,2,0.6889,,,,,
EID_6734,F,65,2,Married,Lebanon,Sales,Analytical,34,1,24,1,1,6,type3,1,3,0.7516,0.7075,,4,8,5,0.106,,,,,
EID_11029,F,40,4,Married,Washington,IT,Conceptual,6,3,67,0,3,5,type4,2,2,-0.1048,0.7075,2,4,6,3,0.1927,,,,,
EID_23195,F,47,3,Single,Springfield,Logistics,Directive,9,3,65,1,1,5,type2,1,3,0.7516,-1.615,2,2,5,3,0.0579,,,,,
EID_24155,M,26,3,Single,Clinton,Operarions,Behavioral,2,1,33,1,3,7,type4,2,3,0.7516,0.7075,2,4,9,3,0.1056,,,,,
EID_13555,F,27,3,Married,Clinton,Operarions,Conceptual,5,3,52,0,3,6,type2,3,4,,-0.4537,2,2,9,3,0.0291,,,,,
EID_16730,F,24,3,Single,Lebanon,Sales,Behavioral,5,1,70,1,4,8,type2,1,3,0.7516,0.7075,2,3,5,3,0.1566,,,,,
EID_5348,F,64,3,Single,Lebanon,Sales,Behavioral,33,4,58,0,3,6,type2,2,3,-1.8176,-0.4537,2,2,7,2,0.1608,,,,,
EID_11397,F,33,5,Married,Lebanon,Human Resource Management,Analytical,8,3,66,0,3,8,type3,4,3,-1.8176,0.7075,2,1,8,3,0.0221,,,,,
EID_3577,F,64,4,Single,Washington,Purchasing,Directive,32,2,69,1,5,7,type2,1,4,-0.9612,0.7075,2,3,8,4,0.0221,,,,,
EID_8272,M,65,3,Single,Lebanon,IT,Behavioral,35,1,22,0,1,5,type2,2,3,0.7516,1.8688,2,3,8,3,0.0844,,,,,
EID_4579,F,48,4,Married,Franklin,Production,Behavioral,22,1,56,0,3,1,type2,1,4,,0.7075,2,2,5,3,0.1889,,,,,
EID_7493,F,46,2,Married,Washington,Logistics,Directive,17,3,63,1,3,5,type4,4,4,-0.9612,0.7075,1,3,7,3,0.1542,,,,,
EID_6426,F,44,4,Single,Lebanon,Production,Directive,,4,54,0,2,6,type2,3,3,-1.8176,0.7075,1,3,7,4,0.0468,,,,,
EID_8561,F,43,4,Married,Springfield,Marketing,Conceptual,18,4,23,1,3,7,type2,3,5,0.7516,-0.4537,1,4,8,4,0.0149,,,,,
EID_10320,F,45,3,Married,Lebanon,Human Resource Management,Conceptual,22,4,51,0,4,8,type2,1,3,,1.8688,2,2,8,2,0.0669,,,,,
EID_21201,F,35,3,Married,Lebanon,Logistics,Behavioral,13,3,56,1,2,5,type0,4,3,-0.1048,-0.4537,2,1,8,3,0.2138,,,,,
EID_17076,M,24,4,Single,Clinton,Logistics,Analytical,5,3,54,1,2,8,type2,3,3,-0.9612,0.7075,3,2,8,5,0.2877,,,,,
EID_8500,M,49,1,Married,Lebanon,Sales,Conceptual,22,2,29,1,2,8,type2,4,3,0.7516,-0.4537,2,3,8,4,0.1964,,,,,
EID_11938,M,35,4,Married,Lebanon,Logistics,Directive,12,3,56,0,4,6,type2,4,4,0.7516,-0.4537,2,4,8,5,0.5781,,,,,
EID_19305,M,20,1,Single,Lebanon,IT,Directive,1,1,42,1,2,5,type0,3,3,0.7516,-0.4537,2,3,8,3,0.0939,,,,,
EID_19932,M,45,3,Single,Springfield,Logistics,Behavioral,15,4,33,0,4,6,type3,1,2,-1.8176,-0.4537,2,2,8,3,0.1826,,,,,
EID_9386,M,42,4,Married,Franklin,IT,Analytical,10,3,51,1,3,6,type2,1,4,-0.9612,0.7075,2,2,8,2,0.2544,,,,,
EID_25904,F,28,3,Married,Washington,Logistics,Conceptual,5,4,49,1,2,7,type3,1,3,,-0.4537,2,2,5,3,0.0873,,,,,
EID_18907,F,20,1,Single,Franklin,R&D,Analytical,1,1,67,1,3,5,type2,4,3,-0.9612,-1.615,1,2,7,3,0.1892,,,,,
EID_14061,F,29,4,Married,Springfield,Logistics,Analytical,5,4,36,0,2,7,type4,3,2,0.7516,-0.4537,2,3,6,3,0.1917,,,,,
EID_7621,M,41,3,Single,Washington,Logistics,Behavioral,5,1,39,1,4,4,type2,3,4,-0.9612,-0.4537,2,3,7,2,0.0781,,,,,
EID_1252,F,58,4,Single,Franklin,Security,Analytical,22,2,72,1,2,8,type2,3,4,,1.8688,2,3,7,3,0.0322,,,,,
EID_5488,F,46,4,Married,Washington,Human Resource Management,Directive,10,3,73,1,2,7,type0,1,3,,-1.615,2,2,8,3,0.2456,,,,,
EID_3400,F,54,3,Married,Springfield,Marketing,Behavioral,18,3,41,1,5,2,type2,1,3,1.6081,0.7075,2,2,7,3,0.0436,,,,,
EID_1225,F,26,3,Single,Franklin,Accounting and Finance,Conceptual,25,2,20,1,2,6,type2,4,3,0.7516,-0.4537,2,4,8,3,0.0719,,,,,
EID_8626,F,48,4,Single,Lebanon,Operarions,Conceptual,26,1,52,1,2,6,type2,3,4,0.7516,-0.4537,2,3,7,5,0.1044,,,,,
EID_22394,F,54,2,Single,Lebanon,IT,Analytical,15,4,56,1,3,7,type2,2,1,-1.8176,-0.4537,,3,5,3,0.6784,,,,,
EID_2666,F,57,3,Married,Lebanon,Logistics,Behavioral,34,2,49,1,4,8,type1,1,3,0.7516,-0.4537,1,4,8,4,0.1237,,,,,
EID_1012,F,51,3,Single,Franklin,IT,Analytical,15,1,71,2,3,5,type2,2,3,-0.1048,-0.4537,2,3,8,3,0.0925,,,,,
EID_6086,M,49,4,Married,Franklin,IT,Conceptual,20,4,28,0,2,7,type3,3,3,-0.1048,0.7075,2,3,7,3,0.1114,,,,,
EID_15159,M,28,4,Married,Lebanon,IT,Directive,6,4,69,0,2,8,type2,2,2,-1.8176,-0.4537,1,3,8,1,0.1939,,,,,
EID_14944,M,24,1,Married,Washington,Purchasing,Analytical,5,1,24,1,3,8,type2,1,2,0.7516,0.7075,2,3,5,3,0.2377,,,,,
EID_13528,M,27,4,Single,Franklin,Purchasing,Conceptual,5,4,46,2,2,5,type2,3,3,0.7516,-0.4537,2,2,7,5,0.0701,,,,,
EID_14783,F,24,3,Single,Franklin,IT,Conceptual,5,4,71,1,4,2,type2,3,3,-1.8176,-0.4537,1,3,7,3,0.255,,,,,
EID_10044,F,40,3,Married,Lebanon,IT,Analytical,13,4,35,1,3,6,type4,2,3,0.7516,0.7075,1,2,6,3,0.1996,,,,,
EID_9134,F,38,5,Married,Lebanon,R&D,Directive,10,1,39,1,3,9,type3,1,4,0.7516,0.7075,2,2,8,3,0.1679,,,,,
